,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
586,Diés Iraé,"Diés Iraé (Latin for ""Day of Wrath"") is a 2025 Indian Malayalam-language horror thriller film written and directed by Rahul Sadasivan and produced by Chakravarthy Ramachandra and S. Sashikanth under Night Shift Studios and YNOT Studios. It stars Pranav Mohanlal with Sushmita Bhat, Gibin Gopinath and Jaya Kurup. The film follows a man, who is increasingly haunted by a former classmate, after taking her hairclip as a souvenir.",Rahul Sadasivan,Rahul Sadasivan,"Chakravarthy Ramachandra, S. Sashikanth","Pranav Mohanlal, Gibin Gopinath, Jaya Kurup, Sushmitha Bhat",Shehnad Jalal,Shafique Mohammed Ali,31 October 2025,India,Malayalam
587,Diesel,"Diesel is a 2025 Indian Tamil-language action thriller film written and directed by Shanmugam Muthusamy in his directorial debut and produced by Third Eye Entertainment and SP Cinemas.  The film stars Harish Kalyan, Athulya Ravi and Vinay Rai in the lead roles with Vivek Prasanna as the antagonist with an ensemble cast consisting of P. Sai Kumar, Ananya, Karunas, Ramesh Thilak, Kaali Venkat, Sachin Khedekar, Zakir Hussain, Thangadurai, and KPY Dheena in pivotal roles.",Shanmugam Muthusamy,Shanmugam Muthusamy,"Devarajulu Markandeyan, SP Sankar, Kishore. S","Harish Kalyan, Vinay Rai, Athulya Ravi, P. Sai Kumar","M. S. Prabhu, Richard M. Nathan",San Lokesh,17 October 2025,India,Tamil
588,Dil Dosti Aur Dogs,"Dil Dosti Aur Dogs is a 2025 Indian Hindi-language comedy‑drama film[1] directed by Viral Shah[2] and produced by Jyoti Deshpande, Masumeh Makhija,[3] and Shah under Jio Studios and The Creative Tribe.[4][5] The film features Tinnu Anand, Neena Gupta, Ehan Bhat, Sharad Kelkar.[6]",Viral Shah,,"Jyoti Deshpande, Masumeh Makhija, Viral Shah","Tinnu Anand, Neena Gupta, Ehan Bhat, Sharad Kelkar, Tridha Choudhury, Kunaal Roy Kapur, Keerti Gaekwad Kelkar, Masumeh Makhija",,,28 February 2025,India,Hindi
589,Dilmaar,"Dilmaar is a 2025 Indian Kannada-language romantic drama film written and directed by M Chandramouli.[1] The film features Ram Gowda, Aditi Prabhudeva, Dimple Hayathi and P. Sai Kumar in important roles.[2][3]",M Chandramouli,M Chandramouli,Nagaraj Bhadravati,"Ram Gowda, Aditi Prabhudeva, Dimple Hayathi, P. Sai Kumar",Thanvik G,Shashank Muralidharan,24 October 2025,India,Kannada
590,Dilruba,"Dilruba is a 2025 Indian Telugu-language romantic action drama film written and directed by Viswa Karun and produced by Vikram Mehra, Siddharth Anand Kumar, Ravi, Jojo Jose and Rakesh Reddy. The film features Kiran Abbavaram, Rukshar Dhillon, Kathy Davison in important roles.[1]",Viswa Karun,Viswa Karun,"Vikram Mehra, Siddharth Anand Kumar, Ravi, Jojo Jose, Rakesh Reddy","Kiran Abbavaram, Rukshar Dhillon, Kathy Davison",Viswas Daniel,Praveen K. L.,14 March 2025,India,Telugu
591,Dinasari,"Dinasari (transl. Everyday) is a 2025 Indian Tamil-language romantic comedy film written and directed by G Sankar. The film stars Srikanth and Cynthia Lourde in the lead roles, and the latter also produced the film under her Cynthia Production House banner. Radha Ravi, M. S. Bhaskar, Premji Amaren, Meera Krishnan, and Vinodhini play supporting roles. The music was composed by Ilaiyaraaja with cinematography by Rajesh Yadav and editing by N. B. Srikanth.",G Sankar,,Cynthia Lourde,"Srikanth, Cynthia Lourde",Rajesh Yadav,N. B. Srikanth,14 February 2025,India,Tamil
592,The Dinner,"The Dinner (Spanish: La cena) is a 2025 comedy film directed by Manuel Gómez Pereira from a screenplay co-written with Joaquín Oristrell and Yolanda García Serrano based on a play by José Luis Alonso de Santos. The plot follows a young lieutenant (Mario Casas), and a conscientious maître d'hôtel (Alberto San Juan) as they try to organize a banquet at Madrid's Hotel Palace for a clique of Francoist generals just weeks after the end of the Spanish Civil War.",Manuel Gómez Pereira,"Joaquín Oristrell, Yolanda García Serrano, Manuel Gómez Pereira","Cristóbal García, Lina Badenes, Roberto Butragueño","Mario Casas, Alberto San Juan, Asier Etxeandia, Óscar Lasarte, Nora Hernández, Eva Ugarte, Elvira Mínguez, Martín Páez, Carmen Balagué, Toni Agustí, Carlos Serrano, Eleazar Ortiz, Ferran Gadea, Antonio Resines",Aitor Mantxola,Vanessa Marimbert,24 September 2025(Zinemaldia),"Spain, France",Spanish
593,Last updated:,"In 2022 he released his feature directorial debut Night of the Coconut on Nebula. He was named the ""Director of Creative Programming"" at Nebula in 2025.",,,,,,,,,
594,Dinner with Friends,"Her full-length directorial debut, the film centres on a group of eight longtime friends who are now in their mid-30s, and who regularly meet for dinner in an attempt to hold onto their connections in the face of external pressures that seem to be pulling them apart.",Sasha Leigh Henry,"Sasha Leigh Henry, Tania Thompson","Sasha Leigh Henry, Tania Thompson","Tattiawna Jones, Izaak Smith, Andrew Bushell, Alex Spencer, Tymika Tafari, Rakhee Morzaria, Michael Ayres, Leighton Alexander Williams",Grant Cooper,Gloria Tong,"September 5, 2025(TIFF)",Canada,English
595,The Diplomat,"The Diplomat is a 2025 Indian Hindi-language political film directed by Shivam Nair and written by Ritesh Shah.[4] The film, starring John Abraham and Sadia Khateeb, is set against the backdrop of India–Pakistan relations, exploring themes of diplomacy and the personal conflicts faced by diplomats.[5][6]",Shivam Nair,Ritesh Shah,"Bhushan Kumar, Krishan Kumar, John Abraham, Sameer Dixit, Jatish Varma, Vipul D. Shah, Ashwin Varde, Rajesh Bahl, Rakesh Dang","John Abraham, Sadia Khateeb, Jagjeet Sandhu, Kumud Mishra, Sharib Hashmi, Revathy, Ashwath Bhatt",Dimo Popov,Kunal Walve,14 March 2025,India,Hindi
596,The Disappearance of Josef Mengele,"The Disappearance of Josef Mengele (German: Das Verschwinden des Josef Mengele) is a 2025 German-language historical drama film written and directed by Kirill Serebrennikov, based on the 2017 non-fiction novel of the same name by Olivier Guez. It stars August Diehl as Nazi SS doctor Josef Mengele, during his escape to South America.[2]",Kirill Serebrennikov,Kirill Serebrennikov,"Mélanie Biessy, Julio Chavezmontes, Christopher Cooper, Charles Gillibert, Abigail Honor, Ilya Stewart, Yan Vizinberg, Felix von Boem","August Diehl, Max Bretschneider, David Ruland, Dana Herfurth, Burghart Klaussner, Rodrigo Costa Pereyra",Vladislav Opelyants,Hansjörg Weißbrich,20 May 2025(Cannes),"France, Germany, United States, United Kingdom, Argentina, Spain, Latvia","German, Portuguese, Spanish, Hungarian"
597,Disforia,Disforia is a 2025 Spanish psychological horror film directed by Christopher Cartagena based on the novel by David Jasso [es]. It stars Fariba Sheikhan and Claudia Salas.,Christopher Cartagena,"Christopher Cartagena, Joan-Pol Argenter, Imanol Ortiz","Isabel G. Peralta, Pablo López Torres, Christopher Cartagena","Fariba Sheikhan, Claudia Salas, Noah Casas, Eloy Azorín",Jorge Roig,"Juan Manuel Gamazo, Clara Martínez Malagelada",20 September 2025(Fantastic Fest),Spain,Spanish
598,Diva,"Diva is a 2025 Croatian feature biographical-historical film about Diva Grabovčeva, directed by Branko Perić, based on a screenplay by his wife Mara Perić.[1]",,,,,,,,,
599,Dive in Wonderland,"Dive in Wonderland[a] is a 2025 Japanese animated fantasy film directed by Toshiya Shinohara and written by Yuko Kakihara. The film is based on the 1865 novel Alice's Adventures in Wonderland and the 1871 novel Through the Looking-Glass by Lewis Carroll. Produced by P.A. Works and distributed by Shochiku, the film stars Nanoka Hara as the voice of Rise and Maika Pugh [ja] as Alice, alongside Koji Yamamoto, Norito Yashima, Ryuichi Kosugi, Kappei Yamaguchi, Toshiyuki Morikawa, Takahiro Yamamoto [ja], Subaru Kimura, Ayumu Murase, Yūki Ono, Natsuki Hanae, Mayu Matsuoka, Shōtarō Mamiya and Keiko Toda. It was released in Japan on August 29, 2025, during the 160th anniversary year of Lewis Carroll's original novels.",Toshiya Shinohara,Yuko Kakihara,"Tomoyuki Saito, Hidemasa Tasaka","Nanoka Hara, Maika Pugh, [, ja, ], Koji Yamamoto, Norito Yashima, Ryuichi Kosugi, Kappei Yamaguchi, Toshiyuki Morikawa, Takahiro Yamamoto, [, ja, ], Subaru Kimura, Ayumu Murase, Yūki Ono, Natsuki Hanae, Mayu Matsuoka, Shōtarō Mamiya, Keiko Toda",Tomo Namiki,Ayumi Takahashi,"August 29, 2025",Japan,Japanese
600,Divia,"Divia (Ukrainian: Дівія) is a 2025 documentary film written and directed by Dmytro Hreshko. The film documents Ukraine's transformation from serene natural beauty to devastation under the Russian invasion. With spring, life tentatively reemerges, but the vast destruction offers little hope for swift ecological recovery.[1][2]",Dmytro Hreshko,,"Polina Herman, Glib Lukianets",,"Dmytro Hreshko, Volodymyr Usyk","Alexander Legostaev, Anastasia Kirillova, Dmytro Hreshko",6 July 2025(KVIFF),"Poland, Ukraine, Netherlands, United States",Speechless film
601,Divine Comedy,"A co-production between Iran, Italy, France, Germany and Turkey, the film had its world premiere at the Orizzonti section of the 82nd Venice International Film Festival.",Ali Asgari,"Alireza Khatami, Bahman Ark, Ali Asgari","Ali Asgari, Milad Khosravi, Hasan Köroglu","Bahman Ark, Sadaf Asgari",Amin Jafari,Ehsan Vaseghi,2 September 2025(Venice),"Iran, Italy, France, Germany, Turkey","Persian, Azerbaijani"
602,DJ Ahmet,"DJ Ahmet (Macedonian: Диџеј Ахмет) is a 2025 drama film directed and written by Georgi M. Unkovski.[2] It follows the life of Ahmet (Arif Jakup), a 15-year-old boy in rural North Macedonia.",Georgi M. Unkovski,Georgi M. Unkovski,"Ivan Unkovski, Ivana Shekutkoska","Arif Jakup, Agush Agushev, Dora Akan Zlatanova, Aksel Mehmet, Selpin Kerim, Atila Klince",Naum Doksevski,Michal Reich,23 January 2025(Sundance),"North Macedonia, Czech Republic, Serbia, Croatia","Turkish, Macedonian, English"
603,DNA,"DNA is a 2025 Indian Tamil-language action thriller film directed by Nelson Venkatesan, who co-wrote the script with Athisha Vino.[2] Produced by Olympia Movies, the film stars Atharvaa and Nimisha Sajayan in the lead roles, alongside Mohammed Zeeshan Ayyub, Balaji Sakthivel, Ramesh Thilak, Viji Chandrasekhar, Chetan, Riythvika, Subramaniam Siva and Karunakaran.[3]",Nelson Venkatesan,"Nelson Venkatesan, Athisha Vino","Jayanthi Ambethkumar, S. Ambethkumar","Atharvaa, Nimisha Sajayan, Mohammed Zeeshan Ayyub",Parthiban,V. J. Sabu Joseph,20 June 2025,India,Tamil
604,Do No Harm,"Hartwell wrote the film in tribute to his father, who is a doctor, and his wife, who is a home health nurse. ""Their nobility and sacrifice have humbled me. I knew that, one day, I needed to find a way to honor them—and the countless others like them—on screen.""[2]",Chris Hartwell,Chris Hartwell,,"Harry Shum Jr., Rosaline Elbay, Ronny Chieng, Jimmy Gonzales",,,2025,United States,English
605,Dochters,Dochters (Dutch for: Daughters) is a 2025 Dutch comedy film directed by Johan Nijenhuis.[1] The film is a remake of the 2019 Czech film Women on the Run.[2][3],Johan Nijenhuis,"Edward Stelder, Anna Pauwels","Johan Nijenhuis, Ingmar Menning","Sanne Vogel, Barbara Sloesen, Abbey Hoes",,,8 May 2025,Netherlands,Dutch
606,Dog 51,"Dog 51 (French: Chien 51) is a 2025 science fiction thriller film directed by Cédric Jimenez and written by Jimenez and Olivier Demangel based on the 2022 novel by the same name by Laurent Gaudé. Starring Gilles Lellouche, Adèle Exarchopoulos, Louis Garrel, Romain Duris, Valeria Bruni Tedeschi and Artus, it follows a crime investigation in a dystopian Paris.",Cédric Jimenez,,Hugo Sélignac,"Gilles Lellouche, Adèle Exarchopoulos, Louis Garrel, Romain Duris, Valeria Bruni Tedeschi, Artus",Laurent Tangy,"Laure Gardette, Stan Collet",6 September 2025(Venice),"France, Belgium",French
607,Dog Man,"Dog Man[a] is a 2025 American animated superhero comedy film produced by DreamWorks Animation and based on the children's graphic novel series by Dav Pilkey. A spin-off to Captain Underpants: The First Epic Movie (2017), the film was written and directed by Peter Hastings, and stars the voices of Pete Davidson, Lil Rel Howery, Isla Fisher, Lucas Hopkins Calderon, and Ricky Gervais, with Hastings providing vocal effects for Dog Man. The film follows the title character as he defends Ohkay City from Petey, a supervillain cat who inadvertently becomes the father of an infant clone.",Peter Hastings,,Karen Foster,"Pete Davidson, Lil Rel Howery, Isla Fisher, Lucas Hopkins Calderon, Ricky Gervais",Scott Cullen,Brian Hopkins,"January 15, 2025(Festival de l'Alpe d'Huez1)",United States,English
608,Dog of God,"Dog of God had its world premiere at the 24th Tribeca Film Festival on June 6, 2025, in the Escape from Tribeca section.[8] It was selected as the Latvian entry for the Best International Feature Film at the 98th Academy Awards, but it was not nominated.[9]","Lauris Ābele, Raitis Ābele","Lauris Ābele, Raitis Ābele, Ivo Briedis, Harijs Grundmanis","Kristele Pudane, Giovanni Labadessa","Regnārs Vaivars, [, lv, ], Einars Repše, Kristians Kareļins, [, lv, ]",Mārcis Ābele,"Lauris Ābele, Raitis Ābele","June 6, 2025(Tribeca)","Latvia, United States","Latvian, German"
609,The Dog Who Travelled by Train 2,"After undergoing a successful surgery in the United States, Zuzia (Liliana Zajbert) returns to her hometown in Poland with her parents. During their absence, their dog Lampo, who is nationwide internet sensation, thanks to its solo travels by train, is placed in the care of the station manager Adam Poprawny (Adam Woronowicz). The dog continues his habit of traveling solo by train. While, previously, he always returned to the same railway station, one day he disappears, with a signal from a GPS tracker in his collar vanishing. Panicked station manager Poprawny adopts a similar-looking dog from an animal shelter. However, after returning home Zuzia realizes that the animal in her house is not her pet, but rather a female dog named Luna. Together with her friend Antek (Maksymilian Zieliński) and dog Luna, she embarks on an adventure to find her missing pet. The panicked station manager Poprawny goes after them to ensure their safety.[1]",Magdalena Nieć,"Katarzyna Gacek, Magdalena Nieć, Mojca Tirš","Filip Bałdyga, Agnieszka Nejman, Beata Ryczkowska, Małgorzata Seck","Liliana Zajbert, Maksymilian Zieliński, Mateusz Damięcki, Monika Pikuła, Adam Woronowicz",,Tomasz Kolak,6 August 2025,Poland,Polish
610,Dogs,"A co-production between Uruguay and Argentina,[5] the film had its world premiere at the 28th Málaga Film Festival on March 18, 2025,[6] where it competed for the Golden Biznaga for Best Latin-American Film and María Elena Pérez was honored with the Silver Biznaga for Best Supporting Actress.[7]",Gerardo Minutti,Gerardo Minutti,"Santiago López Rodríguez, Hernán Musaluppi, Diego Robino, Sandino Saravia Vinay, Lilia Scenna","Néstor Guzzini, Marcelo Subiotto, María Elena Pérez",Matías Lasarte,Manuel Ferrari,"March 18, 2025(Málaga)","Uruguay, Argentina",Spanish
611,La Dolce Villa,"La Dolce Villa is a 2025 American romantic comedy film directed by Mark Waters. It stars Scott Foley, Violante Placido and Maia Reficco. It was released on Netflix on February 13, 2025.",Mark Waters,"Elizabeth Hackett, Hilary Galanoy","Robyn Snyder, Deborah Evans, Nicola Rosada","Scott Foley, Violante Placido, Maia Reficco, Giuseppe Futia",Theo van de Sande,Travis Sittard,"February 13, 2025",United States,English
612,Dolly,"Dolly is a 2025 American independent slasher film directed, written, and produced by Rod Blackhurst. Based on Blackhurt's 2022 short film, Babygirl, the film stars Fabianne Therese, Russ Tiller, Kate Cobb, Eve Blackhurst, Michalina Scorzelli, Ethan Suplee, Seann William Scott, and Max the Impaler. The plot follows Macy, a young woman who fights for survival after she is abducted by a monstrous figure intent on raising her as its child.",Rod Blackhurst,"Rod Blackhurst, Brandon Weavil","Rod Blackhurst, Joseph C. Grano, Noah Lang, Bryce McGuire, Ross O'Connor, Esteban Sanchez, Isaiah Smallman, Betty Tong","Fabianne Therese, Russ Tiller, Kate Cobb, Eve Blackhurst, Michalina Scorzelli, Ethan Suplee, Seann William Scott, Max the Impaler",Justin Derry,Justin Oakey,"September 21, 2025(Fantastic Fest)",United States,English
613,Dolphin Boy 2,"The film premiered on 6 February 2025 at the 43rd Fajr Film Festival and won the Crystal Simorgh for Best Animation and the Audience Choice Award. Like its predecessor, it also achieved significant international sales, being screened in countries such as Russia, Kazakhstan, Uzbekistan, and several European nations.",Mohammad Kheirandish,,Mohammad Hamdani,"Nahid Amirian, Hamed Azizi, Maryam Jalini, Sorayya Qasemi, Sharareh Hazrati, Arsalan Joulai, Georges Petrocy, Touraj Nasr, Javad Pezeshkian",,,6 February 2025(43rd Fajr Film Festival),Iran,Persian
614,Dominic and the Ladies' Purse,"Dominic and the Ladies' Purse is a 2025 Indian Malayalam-language mystery comedy thriller film directed by Gautham Vasudev Menon, in his Malayalam debut, and produced by Mammootty Kampany. The film stars Mammootty in the titular role, alongside Sushmitha Bhat (in her Malayalam debut), Gokul Suresh, Meenakshi Unnikrishnan, Viji Venkatesh and Vineeth. The film revolves around a sharp but disgraced ex-cop, who knows all the right moves and is now a detective, as he takes on a simple job to find the owner of a purse.",Gautham Vasudev Menon,,Mammootty,"Mammootty, Gokul Suresh",Vishnu Dev,Anthony,23 January 2025,India,Malayalam
615,Don't Call Me Mama,"Don't Call Me Mama (Norwegian: Se meg) is a Norwegian drama film directed by Nina Knag in her debut feature. The film is about ""forbidden love, as it confronts its protagonists with a moral test while provocatively exploring how hypocrisy can masquerade as generosity.""[1]",Nina Knag,"Nina Knag, Kathrine Valen Zeiner","Eléonore Anselme, Ingrid Skagestad","Pia Tjelta, Kristoffer Joner, Tarek Zayat",Alvilde Horten Naterstad,Vidar Flataukan,9 July 2025(KVIFF),Norway,Norwegian
616,Don't Die: The Man Who Wants to Live Forever,"Don't Die: The Man Who Wants to Live Forever is a 2025 American documentary film directed by Chris Smith and centered on Bryan Johnson, the technology entrepreneur known for his anti-aging regimen and self-experimentation. Produced by Smith for Library Films alongside Ashlee Vance and Daniel Koehler, the film was released on Netflix on January 1, 2025.[1]",Chris Smith,,"Daniel Koehler, Chris Smith, Ashlee Vance",Bryan Johnson,Chris Smith,"Daniel Koehler, Paul Trewartha","January 1, 2025",United States,English
617,Don't Let Me Die,"Don't Let Me Die (Romanian: Nu mă lăsa să mor) is a 2025 mystery drama film co–written and directed by Andrei Epure in his feature debut. The film starring Cosmina Stratan, follows Maria, who  gets entangled in a maze of bureaucracy and affairs of dead neighbour, when the corpse of her neighbour is found in front of her apartment window.[1][2]",Andrei Epure,,"Ana Gheorghe, Alexandru Teodorescu","Cosmina Stratan, Elina Löwensohn, Silvia Debu, Mihaela Sirbu",Laurențiu Raducanu,Dragoș Apetri,12 August 2025(Locarno),"Romania, Bulgaria, France",Romanian
618,Don't Let the Sun,"Don't Let the Sun is 2025 Swiss-Italian science fiction drama film co–written and directed by Jacqueline Zünd. The film starring Levan Gelbakhiani, is a tender drama about the fragility of human relationships.[1]",Jacqueline Zünd,,"Louis Mataré, David Fonjallaz, Davide Pagano","Levan Gelbakhiani, Maria Pia Pepe, Agnese Claisse, Karidja Touré",Nikolai von Graevenitz,Gion-Reto Killias,9 August 2025(Locarno),"Switzerland, Italy",English
619,Dongji Rescue,"The film is based on a true story of Chinese fishermen rescuing British prisoners of war. During World War II, a Japanese cargo ship carrying British prisoners was sunk in the waters near Zhoushan, and thousands of them were trapped in the cabin by the Japanese army. In desperation, a group of fishermen from Dongji Island came to their aid.[7]","Guan Hu, Fei Zhenxiang","Chen Shu, Zhang Ji, Dong Runnian",Liang Jing,"Zhu Yilong, Wu Lei, Ni Ni",Gao Weizhe,,"August 8, 2025",China,"Mandarin, English"
620,Donkey Days,"Donkey Days is a 2025 German-Dutch drama film written and directed by Rosanne Pel and starring Jil Krammer and Susanne Wolff, it follows two sisters Anna and Charlotte, who have always fought for their mother’s attention. After a family vacation, Anna confronts her mother and sister, for autonomy as she seeks to reclaim her independence.[1][2]",Rosanne Pel,,Floor Onrust,"Jil Krammer, Susanne Wolff, Carla Juri",Aafke Beernink,Xander Nijsten,10 August 2025(Locarno),"Germany, Netherlands","German, Dutch"
621,The Door,"The Door is a 2025 Indian Tamil-language horror thriller film starring Bhavana in the lead role, written and directed by her brother Jaiiddev and produced by her husband Naveen Rajan under June Dreams Studios banner. The film also stars Ganesh Venkatraman, Jayaprakash, Nandu, Sriranjini, Kapil Velavan, Gireesh, Priya Venkat, Ramesh Arumugam, Sindhoori, Sangeetha and others in important roles.",Jaiiddev,Jaiiddev,Naveen Rajan,"Bhavana, Ganesh Venkatraman, Priya Venkat, Jayaprakash, Sriranjini",Gautham G,Athul Vijay,28 March 2025,India,Tamil
622,Doora Theera Yaana,Doora Theera Yaana (transl. Long-distance voyage) is a 2025 Indian Kannada-language romantic drama film story and directed by Mansore and starring Vijay Krishna and Priyanka Kumar.,Mansore,"Chethana Thirthahalli, Mansore, Krishna Hebbale",Devaraj R,"Vijay Krishna, Priyanka Kumar",Shekar Chandra,Nagendra K Ujjani,11 July 2025,India,Kannada
623,Dopamine,It had its world premiere as the closing film of Jakarta Film Week on 26 October 2025. It was released in Indonesian theatres on 13 November 2025.,Teddy Soeria Atmadja,Teddy Soeria Atmadja,"Chand Parwez Servia, Riza, Mithu Nisar","Angga Yunanda, Shenina Cinnamon",Vera Lestafa,Aline Jusria,26 October 2025(Jakarta),Indonesia,Indonesian
624,Dora and the Search for Sol Dorado,"Dora and the Search for Sol Dorado[a] is a 2025 American action comedy and adventure film directed by Alberto Belli and written by JT Billings. The film is loosely based on the Dora the Explorer franchise, and stars Samantha Lorraine, Jacob Rodriguez, Mariana Garzón Toro, Acston Luca Porto, Christian Gnecco Quintero, Gabriel Iglesias, and Daniella Pineda. It is the second film in the franchise after Dora and the Lost City of Gold (2019), and recreates the characters by rebooting the story of an explorer named Dora and her cousin Diego, who are in search of an ancient magical fallen star through a jungle, while facing an archaeologist with the same mission.",Alberto Belli,,"Kristin Burr, Benjamin Tappan, Carolina Arciniegas","Samantha Lorraine, Jacob Rodriguez, Mariana Garzón Toro, Acston Luca Porto, Christian Gnecco Quintero, Gabriel Iglesias, Daniella Pineda",Federico Cantini,Evan Ahlgren,"July 2, 2025",United States,"English, Spanish, [, 3, ]"
625,Doraemon: Nobita's Art World Tales,"Doraemon the Movie: Nobita's Art World Tales (Japanese: 映画ドラえもん のび太の絵世界物語, Hepburn: Eiga Doraemon Nobita no Esekai Monogatari) is a 2025 Japanese animated science fantasy adventure film. It is the 44th Doraemon feature film. It is directed by Yukiyo Teramoto from a screenplay by Satoshi Itо̄.[3][4] It was released in theaters in Japan on March 7, 2025.[5] The film celebrates the 45th anniversary of the Doraemon film series.[6]",Yukiyo Teramoto,,,"Wasabi Mizuta, Megumi Ohara, Yumi Kakazu, Subaru Kimura, Tomokazu Seki, Misaki Watada, Atsumi Tanezaki, Misaki Kuno, Kouji Suzuka, Miki Fujimoto, Mikio Date",,,"March 7, 2025",Japan,Japanese
626,Downton Abbey: The Grand Finale,"Downton Abbey: The Grand Finale is a 2025 historical drama film directed by Simon Curtis from a screenplay by Julian Fellowes. It is the sequel to Downton Abbey: A New Era (2022) and the third and final film in the Downton Abbey franchise. Many of the original franchise's cast members, who also appeared in the previous two films, return. Paul Giamatti and Dominic West reprise their roles as Harold Levinson from the television series and Guy Dexter from the previous film, respectively, while Joely Richardson, Alessandro Nivola, Simon Russell Beale and Arty Froushan join the cast.",Simon Curtis,,"Gareth Neame, Julian Fellowes, Liz Trubridge","Hugh Bonneville, Jim Carter, Michelle Dockery, Paul Giamatti, Elizabeth McGovern, Penelope Wilton",Ben Smithard,Adam Recht,12 September 2025,"United Kingdom, United States",English
627,Dracula,"Dracula (also titled Dracula: A Love Tale) is a 2025 English-language French Gothic[5] romantic fantasy film,[6] written and directed by Luc Besson, based on the 1897 novel Dracula by Bram Stoker. It stars Caleb Landry Jones as the eponymous character, alongside Christoph Waltz and Zoë Bleu. It was theatrically released in France on 30 July 2025, by SND and had a wide theatrical release in North America on 6 February 2026.[7][8] The film received mixed critical reviews and positive reviews from audiences,[9][10] and has currently grossed $42.4 million worldwide on a budget of $52 million. The film received support from the CNC.[11][12]",Luc Besson,,Virginie Besson-Silla,"Caleb Landry Jones, Christoph Waltz, Zoë Bleu, Matilda De Angelis, Ewens Abid, David Shields, Guillaume de Tonquédec",Colin Wandersman,"Lucas ""Kub"" Fabiani",30 July 2025(France),France,English
628,Dracula,"The film had its world premiere in the main competition of the 78th Locarno Film Festival on 10 August 2025, where it was nominated for Golden Leopard.[5]",Radu Jude,,"Alexandru Teodorescu, Rodrigo Teixiera","Adonis Tanța, Gabriel Spahiu, Oana Mardare, Șerban Pavlu",Marius Panduru,Cătălin Cristuțiu,10 August 2025(Locarno),"Romania, Austria, Luxembourg, Brazil","Romanian, English, German"
629,Dragon,"Dragon is a 2025 Indian Tamil-language coming-of-age comedy drama film directed by Ashwath Marimuthu, who co-wrote the story with Pradeep Ranganathan. Produced by AGS Entertainment, the film stars Pradeep in the titular role, alongside Anupama Parameswaran and Kayadu Lohar (in her Tamil debut). Mysskin, Gautham Vasudev Menon, K. S. Ravikumar and George Maryan appear in supporting roles. In the film, a college drop-out deceptively secures a high-paying job, but is forced to accept a major challenge to avoid being exposed.",Ashwath Marimuthu,,"Kalpathi S. Aghoram, Kalpathi S. Ganesh, Kalpathi S. Suresh","Pradeep Ranganathan, Anupama Parameswaran, Kayadu Lohar",Niketh Bommi,Pradeep E. Ragav,21 February 2025,India,Tamil
630,Dragon Heart: Adventures Beyond This World,"Dragon Heart: Adventures Beyond This World (Japanese: ドラゴン・ハート―霊界探訪記, Hepburn: Dragon Heart: Reikai Tanbōki) is a 2025 Japanese animated fantasy film directed by Isamu Imakake.",Isamu Imakake,,,"Chinatsu Hirose, Yūsuke Kobayashi",,,23 May 2025(Japan),Japan,Japanese
631,Dragonfly,Dragonfly is a 2025 British film drama written and directed by Paul Andrew Williams and starring Andrea Riseborough and Brenda Blethyn with Jason Watkins.,Paul Andrew Williams,,"Marie-Elena Dyche, Dominic Tighe","Andrea Riseborough, Brenda Blethyn, Jason Watkins",Vanessa Whyte,Nina Annan,June 2025(Tribeca)2,United Kingdom,English
632,Dream Eater,"Mallory, a documentary filmmaker, and her boyfriend Alex retreat to a cabin in the Laurentian Mountains to address Alex's severe parasomnia. At a doctor's suggestion, Mallory filmed Alex's sleep patterns to monitor his condition. Over the course of a week, Alex's nocturnal behavior escalates into violence. As Mallory reviews the footage, she uncovers evidence suggesting that the disorder is linked to a supernatural, occult force rather than a medical condition. The narrative culminates in a confrontation with the entity influencing Alex.","Jay Drakulic, Mallory Drumm, Alex Lee Williams","Jay Drakulic, Mallory Drumm, Alex Lee Williams","Jay Drakulic, Mallory Drumm, Alex Lee Williams","Alex Lee Williams, Mallory Drumm",Michael Caterina,Vigo Vasquez,"October 24, 2025",Canada,English
633,Dreamboi,"Dreamboi is a 2025 erotic psychological drama film starring, EJ Jallorina, Jenn Rosa, and Tony Labrusca directed by Rodina Singh.",Rodina Singh,Rodina Singh,,"EJ Jallorina, Jenn Rosa, Migs Almendras, Tony Labrusca",,Arnex Nicolas,"October 22, 2025(Cinesilip)",,Filipino
634,Dreamers,"Dreamers is a 2025 British drama film written and directed by Joy Gharoro-Akpojotor in her directorial debut. The film, starring Ronkẹ Adékoluẹjo follows her as Isio, who is caught working without papers, trapped inside Hatchworth, where she learns that finding love, friendship and freedom sometimes means doing the wrong things.[2]",Joy Gharoro-Akpojotor,,Emily Morgan,"Ronkẹ Adékoluẹjo, Ann Akinjirin, Diana Yekinni, Aiysha Hart",Anna Patarakina,Arttu Salmi,18 February 2025(Berlinale),United Kingdom,English
635,Dreams,"Dreams is a 2025 drama film produced, written and directed by Michel Franco. It follows the secret affair of wealthy socialite Jennifer (Jessica Chastain) with Mexican ballet dancer and undocumented immigrant Fernando (Isaac Hernández). The supporting cast includes Rupert Friend, Marshall Bell, Eligio Meléndez and Mercedes Hernández.[3]",Michel Franco,Michel Franco,"Michel Franco, Eréndira Núñez Larios, Alexander Rodnyansky","Jessica Chastain, Isaac Hernández, Rupert Friend",Yves Cape,Óscar Figueroa,"February 15, 2025(Berlinale)","Mexico, United States","English, Spanish"
